Group	Family	Lineage	origin_plot	Origin_or_sister_distribution	Mad_endemics	Non_Mad_endemics	Crown_age	crown_age_plot	Stem_age	stem_age_plot	Source_short	Source_DOI_URL
Flowering plants	Anacardiaceae	Rhus thouarsii – Protorhus – Micronychia	Indopacific	Indopacific	12	1	12	12	25	25	Muellner-riehl et al. 2016	https://doi.org/10.12705/655.5 
Flowering plants	Arecaceae	Dypsis – Lemurophoenix – Marojejya	Indopacific	Indopacific	171	4	24	24	30	30	Baker & Couvreur 2012	https://doi.org/10.1111/j.1365-2699.2012.02795.x
Flowering plants	Asteraceae	Psiadia + Psiadiella + Conyza ageratoides	Indopacific	Indopacific	17	14	8.21	8.21	10.08	10.08	Strijk et al. 2012	https://doi.org/10.1371/journal.pone.0042932
Flowering plants	Celastraceae	Main Malagasy Celastraceae clade	Indopacific	Indopacific	36	9	58.4	58.4	61.7	61.7	Bacon et al 2016 Mol Phyl Evol	https://doi.org/10.1016/j.ympev.2015.09.013
Flowering plants	Cyperaceae	Costularia humbertii + xipholepis	Indopacific	Indopacific	2	0	4.5	4.5	6.8	6.8	Larridon et al. 2021	https://doi.org/10.1111/jbi.14048
Flowering plants	Cyperaceae	Costularia melleri clade	Indopacific	Indopacific	10	1	6.3	6.3	10.1	10.1	Larridon et al. 2021	https://doi.org/10.1111/jbi.14048
Flowering plants	Menispermaceae	Rhaptonema – Strychnopsis	Indopacific	Indopacific	8	0	17	17	38.3	38.3	Jacques et al. 2012	https://doi.org/10.1111/j.1759-6831.2010.00105.x
Flowering plants	Poaceae	Hickeliinae	Indopacific	Indopacific	17	1	6	6	9	9	Hackel et al. 2018 J Biogeog	https://doi.org/10.1111/jbi.13147
Flowering plants	Poaceae	Isachne humbertiana clade	Indopacific	Indopacific	3	1	2	2	5.8	5.8	Hackel et al. 2018 J Biogeog	https://doi.org/10.1111/jbi.13147
Flowering plants	Poaceae	Lasiorhachis	Indopacific	Indopacific	3	0	3	3	5	5	Hackel et al. 2018 J Biogeog	https://doi.org/10.1111/jbi.13147
Flowering plants	Rubiaceae	Gynochthodes Malagasy clade	Indopacific	Indopacific	4		4	4	1	1	Razafimambindison et al. 2017	https://doi.org/10.3732/ajb.1700116
Flowering plants	Rubiaceae	Psychotria WIOR clade	Indopacific	Indopacific	48	7	23	23	26	26	Razafimambindison et al. 2017	https://doi.org/10.3732/ajb.1700116
Flowering plants	Sapindaceae	Molinaea + Tinopsis + Neotina + Tina	Indopacific	Indopacific	24	3	12	12	17	17	Buerki et al. 2010	https://doi.org/10.1111/j.1365-2699.2010.02432.x
Flowering plants	Sapindaceae	Pappea + Plagioscyphus + Conchopetalum + Gereaua + Beguea	Indopacific	Indopacific	17	1	20	20	39	39	Buerki et al. 2010	https://doi.org/10.1111/j.1365-2699.2010.02432.x
Flowering plants	Aponogetonaceae	Aponogeton capuronii clade	Indopacific/Africa	Indopacific/Africa	3	1	22.2	22.2	29.3	29.3	Chen et al. 2014	https://doi.org/10.1016/j.ympev.2014.10.007 
Flowering plants	Aponogetonaceae	Aponogeton eggersii clade	Indopacific/Africa	Indopacific/Africa	9	0	8.1	8.1	13.8	13.8	Chen et al. 2014	https://doi.org/10.1016/j.ympev.2014.10.007 
Birds	Cuculidae	Coua	Indopacific/Eurasia	Indopacific/Eurasia	10	0	22.8	22.8	40.4	40.4	Jetz et al. 2012	https://doi.org/10.1038/nature11631
Flowering plants	Cyperaceae	Carex humbertii + madagascariensis	Unknown	NA	2	0	0.1	0.1	11.4	11.4	Larridon et al. 2021	https://doi.org/10.1111/jbi.14048
Flowering plants	Cyperaceae	Scleria rutenbergiana + madagascariensis	Unknown	NA	2	0	1.7	1.7	7.8	7.8	Larridon et al. 2021	https://doi.org/10.1111/jbi.14048
Flowering plants	Euphorbiaceae	Euphorbia GDD clade	Unknown	NA	90	0	12.7	12.7	NA	NA	Evans et al. 2014	https://doi.org/10.1093/sysbio/syu035
Flowering plants	Poaceae	Brachiaria - Yvesia	Unknown	NA	2	1	6	6	8.2	8.2	Hackel et al. 2018 J Biogeog	https://doi.org/10.1111/jbi.13147
Flowering plants	Poaceae	Brachypodium perrieri clade	Unknown	NA	2	0	2.6	2.6	2.6	2.6	Hackel et al. 2018 J Biogeog	https://doi.org/10.1111/jbi.13147
Flowering plants	Poaceae	Chloris-Daknopholis-Neostapfiella	Unknown	NA	3	1	6	6	7.8	7.8	Hackel et al. 2018 J Biogeog	https://doi.org/10.1111/jbi.13147
Flowering plants	Poaceae	Setaria madecassa clade	Unknown	NA	2	0	5	5	11	11	Hackel et al. 2018 J Biogeog	https://doi.org/10.1111/jbi.13147
Flowering plants	Poaceae	Sporobolus halophilus + perrieri	Unknown	NA	2	0	6	6	9.2	9.2	Hackel et al. 2018 J Biogeog	https://doi.org/10.1111/jbi.13147
Flowering plants	Primulaceae	Badula + Oncostemum	Unknown	NA	97	14	8	8	12	12	Strijk et al. 2013	https://doi.org/10.1111/jbi.12259
Mammals	Myzopodidae	Myzopodidae	Unknown	NA	2	0	0.79	0.79	49.3	49.3	Upham et al. 2019; Upham et al. 2019	https://doi.org/10.1371/journal.pbio.3000494 ; https://doi.org/10.1371/journal.pbio.3000494
Arthropods	Dytiscidae	Cybister 2 Malagasy clade	Neotropics	Neotropics	4	8	44	44	54	54	Bukontaite et al. 2015	https://doi.org/10.1371/journal. pone.0120777
Arthropods	Theridiidae	Anelosimus 2 Malagasy clade	Neotropics	Neotropics	15	0	6.2	6.2	16.9	16.9	Luo et al. 2020	https://doi.org/10.1093/sysbio/syaa017
Birds	Bernieridae	Bernieridae	Neotropics	Neotropics	12	0	12.5	12.5	19	19	Oliveros et al. 2019	https://doi.org/10.1073/pnas.1813206116
Ferns	Cyatheaceae	Alsophila Bipinnate clade	Neotropics	Neotropics	22	5	3	3	30.3	30.3	Janssen et a. 2008	https://doi.org/10.1111/j.1558-5646.2008.00408.x
Ferns	Dryopteridaceae	Ctenitis Malagasy-Mascarene clade	Neotropics	Neotropics	8	12	6	6	8.5	8.5	Hennequin et al. 2017	https://doi.org/10.1016/j.ympev.2017.04.012
Ferns	Dryopteridaceae	Megalastrum canacae + lanatum	Neotropics	Neotropics	2		1	1	17	17	Labiak et al. 2014	https://doi.org/10.3732/ajb.1400071
Flowering plants	Fabaceae	Delonix + Colvillea + Lemuropsium	Neotropics	Neotropics	11	2	24	24	30	30	Babineau & Bruneau 2017	https://doi.org/10.1093/botlinnean/box009
Flowering plants	Fabaceae	Viguieranthus	Neotropics	Neotropics	18??		3.5	3.5	8	8	de Souza et al. 2013	https://doi.org/10.12705/626.22
Molluscs	Pachychilidae	Madagasikara	Neotropics	Neotropics	6	0	9	9	25.9	25.9	Köhler and Glaubrecht 2010	https://doi.org/10.1111/j.1095-8312.2009.01390.x
Reptiles	Opluridae	Opluridae	Neotropics	Neotropics	8	0	23.46	23.46	71.31	71.31	Zheng and Wiens 2016	https://doi.org/10.1016/j.ympev.2015.10.009
Arthropods	Cicadellidae	Cicadellinae Malagasy clade 1	Neotropics/Indopacific	Neotropics/Indopacific	4	0	21	21	85	85	Krishnankutty 2012	http://hdl.handle.net/2142/42167
Arthropods	Cicadellidae	Cicadellinae Malagasy clade 2	Neotropics/Indopacific	Neotropics/Indopacific	18	0	59	59	72.5	72.5	Krishnankutty 2012	http://hdl.handle.net/2142/42167
Arthropods	Gyrinidae	Dineutus Malagasy clade	Neotropics/North America	Neotropics/North America	2	4	42.5	42.5	50.9	50.9	Gustafson et al. 2017	https://doi.org/10.1038/s41598-017-08403-1
Flowering plants	Cyperaceae	Cyperus molliglumis clade	North America	North America	4	0	22.9	22.9	25	25	Larridon et al. 2021	https://doi.org/10.1111/jbi.14048
Flowering plants	Anacardiaceae	Campnosperma_micranteium + Campnosperma_schatzii	Neotropics	South America	2	0	2.67	2.67	31.51	31.51	Weeks et al. 2015 	https://doi.org/10.3389/fgene.2014.00409 
Flowering plants	Rubiaceae	Danaideae	Unknown	?	55	5	20.1	20.1	56	56	Krüger et al. 2012; Bremer & Eriksson 2009	https://doi.org/10.1002/tax.613011 ; https://doi.org/10.1086/599077
Arthropods	Carabidae	Chaetotaxis	Unknown	NA	11	0	NA	NA	12	12	Pons et al. 2004	https://doi.org/10.1080/10635150490472940
Arthropods	Cicadellidae	Idiocerinae Malagasy clade 1	Unknown	NA	4	0	25.8	25.8	88	88	Krishnankutty 2012	http://hdl.handle.net/2142/42167
Arthropods	Cicadellidae	Platyjassini	Unknown	NA	6	0	43.8	43.8	94.8	94.8	Krishnankutty et al. 2016	https://doi.org/10.1111/syen.12175
Arthropods	Formicidae	Aptinoma	Unknown	NA	2	0	7.16	7.16	45.26	45.26	Economo et al. 2018	https://doi.org/10.1038/s41467-018-04218-4
Arthropods	Formicidae	Cataulacus ebrardi - MAD02	Unknown	NA			0.13	0.13	14.74	14.74	Economo et al. 2018	https://doi.org/10.1038/s41467-018-04218-4
Arthropods	Formicidae	Tanipone	Unknown	NA	10	0	NA	NA	107.46	107.46	Economo et al. 2018	https://doi.org/10.1038/s41467-018-04218-4
Arthropods	Gyrinidae	Orectogyrus 1 Malagasy clade	Unknown	NA	2	0	15	15	21	21	Gustafson et al. 2017	https://doi.org/10.1038/s41598-017-08403-1
Arthropods	Gyrinidae	Orectogyrus 2 Malagasy clade	Unknown	NA	4	1	44.4	44.4	59.8	59.8	Gustafson et al. 2017	https://doi.org/10.1038/s41598-017-08403-1
Arthropods	Gyrinidae	Orectogyrus 3 Malagasy clade	Unknown	NA	2	0	33.6	33.6	87.4	87.4	Gustafson et al. 2017	https://doi.org/10.1038/s41598-017-08403-1
Birds	Accipitridae	Accipiter Malagasy clade	Unknown	NA	2	1	16.3	16.3	20.6	20.6	Jetz et al. 2012	https://doi.org/10.1038/nature11631
Birds	Cisticolidae	Neomixis	Unknown	NA	3	0	12.51	12.51	27.32	27.32	Jetz et al. 2012	https://doi.org/10.1038/nature11631
Birds	Mesitornithidae	Mesitornithidae	Unknown	NA	3	0	29.7	29.7	83.04	83.04	Jetz et al. 2012	https://doi.org/10.1038/nature11631
Birds	Philepittidae	Philepittidae	Unknown	NA	4	0	18.2	18.2	27.47	27.47	Jetz et al. 2012	https://doi.org/10.1038/nature11631
Birds	Stringidae	Asio Malagasy clade	Unknown	NA	2	1	10	10	14.9	14.9	Jetz et al. 2012	https://doi.org/10.1038/nature11631
Bony fishes	Cichlidae	Paretroplus	Unknown	NA	13	0	NA	NA	128.4	128.4	Irisarri et al. 2018	https://doi.org/10.1038/s41467-018-05479-9
Bony fishes	Cichlidae	Ptychochrominae	Unknown	NA	16	0	102	102	128.4	128.4	Irisarri et al. 2018	https://doi.org/10.1038/s41467-018-05479-9
